keyNumber,frequency,scaleNameJp,scaleNameEn
0,27.500,ラ0,A0
1,29.135,ラ#0,A#0
2,30.868,シ0,B0
3,32.703,ド1,C1
4,34.648,ド#1,C#1
5,36.708,レ1,D1
6,38.891,レ#1,D#1
7,41.203,ミ1,E1
8,43.654,ファ1,F1
9,46.249,ファ#1,F#1
10,48.999,ソ1,G1
11,51.913,ソ#1,G#1
12,55.000,ラ1,A1
13,58.270,ラ#1,A#1
14,61.735,シ1,B1
15,65.406,ド2,C2
16,69.296,ド#2,C#2
17,73.416,レ2,D2
18,77.782,レ#2,D#2
19,82.407,ミ2,E2
20,87.307,ファ2,F2
21,92.499,ファ#2,F#2
22,97.999,ソ2,G2
23,103.826,ソ#2,G#2
24,110.000,ラ2,A2
25,116.541,ラ#2,A#2
26,123.471,シ2,B2
27,130.813,ド3,C3
28,138.591,ド#3,C#3
29,146.832,レ3,D3
30,155.563,レ#3,D#3
31,164.814,ミ3,E3
32,174.614,ファ3,F3
33,184.997,ファ#3,F#3
34,195.998,ソ3,G3
35,207.652,ソ#3,G#3
36,220.000,ラ3,A3
37,233.082,ラ#3,A#3
38,246.942,シ3,B3
39,261.626,ド4,C4
40,277.183,ド#4,C#4
41,293.665,レ4,D4
42,311.127,レ#4,D#4
43,329.628,ミ4,E4
44,349.228,ファ4,F4
45,369.994,ファ#4,F#4
46,391.995,ソ4,G4
47,415.305,ソ#4,G#4
48,440.000,ラ4,A4
49,466.164,ラ#4,A#4
50,493.883,シ4,B4
51,523.251,ド5,C5
52,554.365,ド#5,C#5
53,587.330,レ5,D5
54,622.254,レ#5,D#5
55,659.255,ミ5,E5
56,698.456,ファ5,F5
57,739.989,ファ#5,F#5
58,783.991,ソ5,G5
59,830.609,ソ#5,G#5
60,880.000,ラ5,A5
61,932.328,ラ#5,A#5
62,987.767,シ5,B5
63,1046.502,ド6,C6
64,1108.731,ド#6,C#6
65,1174.659,レ6,D6
66,1244.508,レ#6,D#6
67,1318.510,ミ6,E6
68,1396.913,ファ6,F6
69,1479.978,ファ#6,F#6
70,1567.982,ソ6,G6
71,1661.219,ソ#6,G#6
72,1760.000,ラ6,A6
73,1864.655,ラ#6,A#6
74,1975.533,シ6,B6
75,2093.005,ド7,C7
76,2217.461,ド#7,C#7
77,2349.318,レ7,D7
78,2489.016,レ#7,D#7
79,2637.020,ミ7,E7
80,2793.826,ファ7,F7
81,2959.955,ファ#7,F#7
82,3135.963,ソ7,G7
83,3322.438,ソ#7,G#7
84,3520.000,ラ7,A7
85,3729.310,ラ#7,A#7
86,3951.066,シ7,B7
87,4186.009,ド8,C8